Date,XLF
,XLF
2019-03-14,23.52239227294922
2019-03-15,23.686948776245117
2019-03-18,23.927104949951172
2019-03-19,23.740318298339844
2019-03-20,23.2510986328125
2019-03-21,23.179941177368164
2019-03-22,22.53951644897461
2019-03-25,22.441673278808594
2019-03-26,22.708520889282227
2019-03-27,22.610671997070312
2019-03-28,22.806354522705078
2019-03-29,22.868619918823242
2019-04-01,23.42899513244629
2019-04-02,23.411211013793945
2019-04-03,23.48236656188965
2019-04-04,23.624677658081055
2019-04-05,23.660263061523438
2019-04-08,23.686948776245117
2019-04-09,23.49125862121582
2019-04-10,23.562416076660156
2019-04-11,23.704734802246094
2019-04-12,24.14058494567871
2019-04-15,23.98937225341797
2019-04-16,24.327375411987305
2019-04-17,24.389638900756836
2019-04-18,24.318477630615234
2019-04-22,24.2473201751709
2019-04-23,24.398534774780273
2019-04-24,24.371850967407227
2019-04-25,24.416324615478516
2019-04-26,24.638690948486328
2019-04-29,24.88775062561035
2019-04-30,24.923330307006836
2019-05-01,24.718746185302734
2019-05-02,24.74543571472168
2019-05-03,24.967803955078125
2019-05-06,24.79880142211914
2019-05-07,24.389638900756836
2019-05-08,24.33626937866211
2019-05-09,24.28289794921875
2019-05-10,24.44300651550293
2019-05-13,23.73142433166504
2019-05-14,23.918210983276367
2019-05-15,23.829267501831055
2019-05-16,24.069425582885742
2019-05-17,23.909320831298828
2019-05-20,23.936002731323242
2019-05-21,24.185056686401367
2019-05-22,24.042743682861328
2019-05-23,23.704734802246094
2019-05-24,23.891525268554688
2019-05-28,23.61578369140625
2019-05-29,23.571311950683594
2019-05-30,23.49125862121582
2019-05-31,23.135465621948242
2019-06-03,23.286680221557617
2019-06-04,23.918210983276367
2019-06-05,24.069425582885742
2019-06-06,24.15837287902832
2019-06-07,24.12279510498047
2019-06-10,24.327375411987305
2019-06-11,24.33626937866211
2019-06-12,24.096113204956055
2019-06-13,24.17616844177246
2019-06-14,24.229534149169922
2019-06-17,24.007156372070312
2019-06-18,24.327375411987305
2019-06-19,24.28289794921875
2019-06-20,24.389638900756836
2019-06-21,24.33510398864746
2019-06-24,24.23676300048828
2019-06-25,24.15630340576172
2019-06-26,24.111600875854492
2019-06-27,24.3261661529541
2019-06-28,24.674833297729492
2019-07-01,24.96986198425293
2019-07-02,24.907270431518555
2019-07-03,25.103961944580078
2019-07-05,25.175472259521484
2019-07-08,25.050315856933594
2019-07-09,25.09501838684082
2019-07-10,25.005615234375
2019-07-11,25.148658752441406
2019-07-12,25.318525314331055
2019-07-15,25.175472259521484
2019-07-16,25.112895965576172
2019-07-17,24.898338317871094
2019-07-18,25.086076736450195
2019-07-19,24.97879409790039
2019-07-22,25.03243637084961
2019-07-23,25.291704177856445
2019-07-24,25.550966262817383
2019-07-25,25.372159957885742
2019-07-26,25.649307250976562
2019-07-29,25.452625274658203
2019-07-30,25.381103515625
2019-07-31,25.255937576293945
2019-08-01,24.683773040771484
2019-08-02,24.674833297729492
2019-08-05,23.852336883544922
2019-08-06,24.23676300048828
2019-08-07,23.9149112701416
2019-08-08,24.370866775512695
2019-08-09,24.290403366088867
2019-08-12,23.82551383972168
2019-08-13,24.12054443359375
2019-08-14,23.226526260375977
2019-08-15,23.342744827270508
2019-08-16,23.753995895385742
2019-08-19,23.995376586914062
2019-08-20,23.673534393310547
2019-08-21,23.780813217163086
2019-08-22,23.941740036010742
2019-08-23,23.333805084228516
2019-08-26,23.557310104370117
2019-08-27,23.414268493652344
2019-08-28,23.62883186340332
2019-08-29,23.98643684387207
2019-08-30,24.06690216064453
2019-09-03,23.81657600402832
2019-09-04,24.04901695251465
2019-09-05,24.54073143005371
2019-09-06,24.531787872314453
2019-09-09,24.907270431518555
2019-09-10,24.996673583984375
2019-09-11,25.139719009399414
2019-09-12,25.27382469177246
2019-09-13,25.470502853393555
2019-09-16,25.381103515625
2019-09-17,25.407922744750977
2019-09-18,25.49732208251953
2019-09-19,25.381103515625
2019-09-20,25.231943130493164
2019-09-23,25.27686309814453
2019-09-24,25.034255981445312
2019-09-25,25.240924835205078
2019-09-26,25.124113082885742
2019-09-27,25.22295379638672
2019-09-30,25.16005516052246
2019-10-01,24.629898071289062
2019-10-02,24.126699447631836
2019-10-03,24.225540161132812
2019-10-04,24.674829483032227
2019-10-07,24.54902458190918
2019-10-08,24.06379508972168
2019-10-09,24.28843879699707
2019-10-10,24.5400390625
2019-10-11,24.845552444458008
2019-10-14,24.88149642944336
2019-10-15,25.240924835205078
2019-10-16,25.17802619934082
2019-10-17,25.19599723815918
2019-10-18,25.258899688720703
2019-10-21,25.609338760375977
2019-10-22,25.537456512451172
2019-10-23,25.64528465270996
2019-10-24,25.609338760375977
2019-10-25,25.735139846801758
2019-10-28,25.86992645263672
2019-10-29,25.932823181152344
2019-10-30,25.91485595703125
2019-10-31,25.78905487060547
2019-11-01,26.166458129882812
2019-11-04,26.391101837158203
2019-11-05,26.48994255065918
2019-11-06,26.62472915649414
2019-11-07,26.822412490844727
2019-11-08,26.813430786132812
2019-11-11,26.741539001464844
2019-11-12,26.777484893798828
2019-11-13,26.60675621032715
2019-11-14,26.66067123413086
2019-11-15,26.732559204101562
2019-11-18,26.78647232055664
2019-11-19,26.840389251708984
2019-11-20,26.71458625793457
2019-11-21,26.687631607055664
2019-11-22,26.885313034057617
2019-11-25,27.05604362487793
2019-11-26,27.029083251953125
2019-11-27,27.136917114257812
2019-11-29,27.09198760986328
2019-12-02,26.92125701904297
2019-12-03,26.54385757446289
2019-12-04,26.795454025268555
2019-12-05,26.92125701904297
2019-12-06,27.280691146850586
2019-12-09,27.217788696289062
2019-12-10,27.226770401000977
2019-12-11,27.163875579833984
2019-12-12,27.694028854370117
2019-12-13,27.595190048217773
2019-12-16,27.694028854370117
2019-12-17,27.801860809326172
2019-12-18,27.685043334960938
2019-12-19,27.67605972290039
2019-12-20,27.708574295043945
2019-12-23,27.645353317260742
2019-12-24,27.708574295043945
2019-12-26,27.86210823059082
2019-12-27,27.78985595703125
2019-12-30,27.708574295043945
2019-12-31,27.798891067504883
2020-01-02,28.069835662841797
2020-01-03,27.771791458129883
2020-01-06,27.75373077392578
2020-01-07,27.573104858398438
2020-01-08,27.75373077392578
2020-01-09,27.925331115722656
2020-01-10,27.717607498168945
2020-01-13,27.907262802124023
2020-01-14,27.85308074951172
2020-01-15,27.699541091918945
2020-01-16,27.943391799926758
2020-01-17,28.024677276611328
2020-01-21,27.78985595703125
2020-01-22,27.871145248413086
2020-01-23,27.798891067504883
2020-01-24,27.4466609954834
2020-01-27,27.022184371948242
2020-01-28,27.33828353881836
2020-01-29,27.29312515258789
2020-01-30,27.636320114135742
2020-01-31,27.058305740356445
2020-02-03,27.247966766357422
2020-02-04,27.50988006591797
2020-02-05,28.060800552368164
2020-02-06,28.024677276611328
2020-02-07,27.925331115722656
2020-02-10,28.006610870361328
2020-02-11,28.1059627532959
2020-02-12,28.124019622802734
2020-02-13,28.114994049072266
2020-02-14,28.1511173248291
2020-02-18,27.907262802124023
2020-02-19,28.114994049072266
2020-02-20,28.060800552368164
2020-02-21,27.78985595703125
2020-02-24,26.88671112060547
2020-02-25,25.974529266357422
