Date,XLI
,XLI
2017-09-28,62.10860061645508
2017-09-29,62.29283142089844
2017-10-02,62.722740173339844
2017-10-03,62.99473571777344
2017-10-04,62.9771728515625
2017-10-05,63.1263542175293
2017-10-06,63.117576599121094
2017-10-09,62.94207000732422
2017-10-10,63.03860092163086
2017-10-11,63.00350570678711
2017-10-12,63.33689498901367
2017-10-13,63.222869873046875
2017-10-16,63.29303741455078
2017-10-17,63.1263542175293
2017-10-18,63.152679443359375
2017-10-19,63.328155517578125
2017-10-20,64.0124740600586
2017-10-23,63.608882904052734
2017-10-24,63.96861267089844
2017-10-25,63.33689498901367
2017-10-26,63.42462921142578
2017-10-27,63.45095443725586
2017-10-30,63.01224899291992
2017-10-31,62.75784683227539
2017-11-01,62.722740173339844
2017-11-02,63.08247375488281
