Date,XLK
,XLK
2017-09-28,54.27898025512695
2017-09-29,54.64884948730469
2017-10-02,54.732086181640625
2017-10-03,54.86153030395508
2017-10-04,54.824546813964844
2017-10-05,55.35162353515625
2017-10-06,55.43482971191406
2017-10-09,55.573551177978516
2017-10-10,55.6290283203125
2017-10-11,55.813968658447266
2017-10-12,55.67526626586914
2017-10-13,55.94342041015625
2017-10-16,56.1468505859375
2017-10-17,56.1468505859375
2017-10-18,56.285545349121094
2017-10-19,56.119102478027344
2017-10-20,56.498226165771484
2017-10-23,56.23006820678711
2017-10-24,56.38726806640625
2017-10-25,56.08211898803711
2017-10-26,56.313297271728516
2017-10-27,57.82977294921875
2017-10-30,57.9592399597168
2017-10-31,58.208892822265625
2017-11-01,58.2181396484375
2017-11-02,58.245880126953125
